"Core_Speed","L2_Cache","Max_Power","Memory","Memory_Bandwidth","Memory_Speed","TMUs","Texture_Rate","Release_Date"
625,0,110,512,63.6,993,40,25,"01-Jun-2008 "
575,0,95,512,57.6,900,32,18,"21-Oct-2008 "
575,0,95,512,57.6,900,32,18,"21-Oct-2008 "
750,0,59,1024,27.9,873,32,24,"01-Sep-2008 "
750,0,80,512,51.2,800,32,24,"28-Apr-2009 "
NA,0,110,512,57.6,900,32,24,"08-Jun-2009 "
NA,0,NA,512,57.6,900,32,22,"08-Nov-2009 "
NA,0,75,512,51.2,800,32,23,"09-Sep-2009 "
750,0,59,1024,25.6,800,32,24,"01-Nov-2009 "
750,0,59,1024,25.6,800,32,24,"17-Jul-2007 "
750,0,59,512,32.1,1004,32,24,"09-Oct-2008 "
600,0,48,1024,24,750,32,19,"10-Sep-2008 "
600,0,48,1024,22.4,700,32,19,"10-Sep-2008 "
750,0,59,1024,25.6,800,32,24,"10-Sep-2008 "
600,0,20,512,6.4,400,8,5,"30-Sep-2008 "
NA,0,48,512,12.8,400,32,19,"01-Sep-2008 "
NA,0,48,1024,12.8,400,32,19,"01-Sep-2008 "
600,0,25,256,12.8,800,8,5,"01-Sep-2008 "
600,0,20,1024,8,500,8,5,"30-Sep-2008 "
600,0,25,512,12.8,800,8,5,"30-Sep-2008 "
750,0,59,512,25.6,800,32,24,"10-Sep-2008 "
600,0,20,512,6.4,400,8,5,"30-Sep-2008 "
NA,0,NA,NA,NA,NA,4,2,"30-Mar-2010 "
NA,0,NA,NA,NA,NA,4,3,"01-Mar-2010 "
650,0,105,1024,57.6,900,32,21,"01-Mar-2009 "
500,0,75,768,24,500,32,16,"01-Mar-2009 "
500,0,50,512,16,500,16,8,"01-Mar-2009 "
NA,0,NA,NA,NA,NA,4,2,"01-Aug-2009 "
825,0,165,1024,57.6,900,16,13,"28-Jan-2008 "
777,0,106,512,72.1,1126,16,12,"19-Nov-2007 "
NA,0,140,1024,106,828,32,21,"04-Apr-2008 "
NA,0,75,256,26.6,830,16,11,"01-Apr-2008 "
NA,0,75,256,26.6,830,16,11,"30-Jan-2008 "
NA,0,NA,512,NA,NA,16,NA,"01-Nov-2007 "
567,0,35,512,8,500,8,5,"01-Mar-2009 "
NA,0,75,256,53.1,830,16,11,"19-Nov-2007 "
NA,0,65,256,25.6,800,8,6,"23-Jan-2008 "
NA,0,NA,NA,NA,NA,NA,NA,"01-Jan-2008 "
NA,0,30,256,15.2,950,4,3,"23-Jan-2008 "
